NorthVehicles,SouthVehicles,EastVehicles,WestVehicles,NorthWaitingTime,SouthWaitingTime,EastWaitingTime,WestWaitingTime,TimeOfDay,Weather,Emergency,TrafficDensity,CongestionLevel,GreenSignalTime,BestRoad
4,7,7,12,17,34,40,37,Night,Foggy,None,Low,Medium,20,West
39,28,41,38,81,61,96,87,Evening,Clear,None,High,High,40,East
49,48,26,21,101,96,57,52,Morning,Clear,None,High,High,40,North
25,19,16,21,83,62,58,88,Afternoon,Foggy,None,Medium,High,30,West
22,37,49,48,59,85,105,105,Evening,Clear,None,High,High,40,West
27,25,39,53,67,61,89,118,Evening,Clear,None,High,High,50,West
39,40,34,26,84,84,77,62,Morning,Clear,None,High,High,40,South
6,7,11,5,12,16,37,23,Night,Clear,None,Low,Low,20,East
22,20,31,19,46,55,67,47,Afternoon,Clear,None,Medium,Medium,30,East
25,20,34,25,67,70,102,87,Afternoon,Rainy,None,High,High,30,East
33,40,31,16,80,92,74,39,Morning,Clear,None,High,High,40,South
41,25,36,32,85,58,75,64,Evening,Clear,None,High,High,40,North
45,31,48,39,102,76,97,84,Evening,Clear,None,Very High,High,40,East
23,29,26,21,51,70,65,49,Afternoon,Clear,None,Medium,Medium,30,South
39,48,33,29,141,156,105,96,Morning,Foggy,None,High,Very High,40,South
16,27,27,26,43,68,65,59,Afternoon,Clear,None,Medium,Medium,30,South
18,31,43,50,38,63,93,104,Evening,Clear,None,High,High,40,West
17,18,13,13,54,51,41,35,Afternoon,Rainy,None,Medium,Medium,20,North
57,54,33,12,176,180,116,57,Morning,Foggy,None,High,Very High,50,North
33,13,25,35,70,40,55,75,Afternoon,Clear,None,High,High,30,West
41,39,43,25,86,79,98,50,Evening,Clear,None,High,High,40,East
30,42,49,42,75,98,109,93,Evening,Clear,None,Very High,High,40,East
30,41,32,31,61,86,71,76,Morning,Clear,None,High,High,40,South
32,24,45,53,69,61,94,107,Evening,Clear,None,High,High,50,West
21,24,45,28,56,54,103,60,Evening,Clear,None,High,High,40,East
11,0,8,3,24,2,26,6,Night,Clear,None,Low,Low,20,North
22,28,44,50,62,85,120,149,Evening,Rainy,None,High,Very High,40,West
9,5,12,6,22,17,33,18,Night,Clear,None,Low,Low,20,East
10,4,11,7,54,26,57,29,Night,Foggy,None,Low,Medium,20,East
5,11,10,4,22,24,30,10,Night,Clear,None,Low,Low,10,East
51,40,15,16,105,82,44,43,Morning,Clear,None,High,High,50,North
26,34,16,28,66,80,32,58,Afternoon,Clear,None,High,Medium,30,South
44,45,20,16,103,96,42,33,Morning,Clear,None,High,High,40,South
8,4,4,15,26,21,9,43,Night,Clear,None,Low,Low,20,West
25,25,17,26,54,54,34,59,Afternoon,Clear,None,Medium,Medium,30,West
18,28,35,14,66,103,114,65,Afternoon,Foggy,None,Medium,High,30,East
19,33,20,35,68,99,71,102,Afternoon,Rainy,None,High,High,30,West
35,39,29,8,74,78,66,25,Morning,Clear,None,High,High,40,South
47,42,24,18,105,95,56,47,Morning,Clear,None,High,High,40,North
27,35,36,16,67,84,83,35,Afternoon,Clear,None,High,High,40,East
21,30,41,45,47,62,82,104,Evening,Clear,None,High,High,40,West
17,30,49,27,48,71,103,57,Evening,Clear,None,High,High,40,East
46,36,21,24,106,86,46,51,Morning,Clear,None,High,High,40,North
29,40,43,51,87,126,130,151,Evening,Rainy,None,Very High,Very High,50,West
35,28,39,28,77,70,89,65,Evening,Clear,None,High,High,40,East
48,37,54,40,108,77,112,87,Evening,Clear,None,Very High,High,50,East
15,17,14,32,33,35,38,76,Afternoon,Clear,None,Medium,Medium,30,West
12,7,9,12,38,26,23,38,Night,Clear,None,Medium,Medium,20,West
43,37,39,33,97,76,92,66,Evening,Clear,None,High,High,40,North
26,23,22,36,53,60,44,81,Afternoon,Clear,None,High,Medium,40,West
14,32,31,17,33,74,62,34,Afternoon,Clear,None,Medium,Medium,30,South
13,11,3,10,43,41,24,45,Night,Rainy,None,Low,Medium,10,West
1,3,12,12,3,6,27,35,Night,Clear,None,Low,Low,20,West
24,22,36,50,57,45,78,106,Evening,Clear,None,High,High,40,West
33,29,30,27,73,68,68,63,Afternoon,Clear,None,High,High,30,North
23,26,17,33,48,60,36,68,Afternoon,Clear,None,Medium,Medium,30,West
33,27,48,46,90,74,139,129,Evening,Rainy,None,High,Very High,40,East
6,6,6,7,20,25,14,25,Night,Clear,None,Low,Low,10,West
19,20,37,31,48,51,76,76,Evening,Clear,None,High,High,40,East
26,26,37,15,85,89,117,48,Afternoon,Rainy,None,High,High,40,East
37,28,41,36,114,76,110,109,Evening,Rainy,None,High,Very High,40,East
24,25,34,27,67,83,91,93,Afternoon,Rainy,None,High,High,30,East
20,23,44,30,42,57,103,67,Evening,Clear,None,High,High,40,East
33,14,33,17,70,29,80,41,Afternoon,Clear,None,Medium,Medium,30,East
25,35,42,36,64,83,99,86,Evening,Clear,None,High,High,40,East
28,17,30,26,66,49,60,55,Afternoon,Clear,None,High,Medium,30,North
19,30,18,21,53,61,46,57,Afternoon,Clear,None,Medium,Medium,30,South
53,39,32,12,120,93,79,35,Morning,Clear,None,High,High,50,North
0,8,3,9,12,25,11,23,Night,Clear,None,Low,Low,10,West
51,40,24,10,106,80,62,26,Morning,Clear,None,High,High,50,North
3,11,5,14,27,38,20,44,Night,Foggy,None,Low,Medium,20,West
34,41,37,29,79,93,74,65,Evening,Clear,None,High,High,40,South
45,25,33,35,93,54,80,77,Evening,Clear,None,High,High,40,North
18,21,38,26,68,59,109,89,Evening,Rainy,None,High,High,40,East
29,15,20,15,67,39,54,35,Afternoon,Clear,None,Medium,Medium,30,North
3,2,4,1,28,9,18,22,Night,Rainy,None,Low,Low,10,North
16,24,16,27,52,83,49,103,Afternoon,Foggy,None,Medium,High,30,West
56,42,12,15,180,145,57,55,Morning,Foggy,None,High,Very High,50,North
41,37,17,29,84,82,38,63,Morning,Clear,None,High,High,40,North
32,16,26,28,74,33,58,56,Afternoon,Clear,None,High,Medium,30,North
41,34,20,28,128,98,55,82,Morning,Rainy,None,High,High,40,North
32,41,41,29,65,93,96,60,Evening,Clear,None,High,High,40,East
34,40,34,14,70,84,71,32,Morning,Clear,None,High,High,40,South
32,27,18,20,79,62,39,52,Afternoon,Clear,None,Medium,Medium,30,North
13,32,21,22,34,77,57,45,Afternoon,Clear,None,Medium,Medium,30,South
5,8,6,9,20,22,29,27,Night,Rainy,None,Low,Low,10,West
34,37,35,21,75,84,84,56,Morning,Clear,None,High,High,40,South
